genre,count,mean_popularity,median_popularity,duration_mean,duration_median
World,8038,34.46640955,33,315641.3585,286932
Classical,9250,29.26335135,32,310375.0668,260400
Jazz,8144,39.73993124,40,264217.216,246939.5
Electronic,9149,37.58574708,37,269141.3335,245625
Rock,2070,59.24347826,58,252481.6681,237960
Reggae,8711,35.43106417,34,239408.9597,227800
Opera,7891,12.70586744,11,258699.3296,226720
Folk,7801,48.28675811,47,235552.4314,225840
Blues,3295,53.15629742,53,230361.0489,223493
Alternative,5300,55.48566038,54,231501.6064,223172
R&B,4870,47.45297741,47,227379.6754,221655
Reggaeton,8537,36.42544219,35,232164.534,221000
Soul,5058,43.94226967,42,231226.3992,219829
Dance,8298,56.26729332,56,226862.1902,219513.5
Pop,6021,67.47184853,66,220666.3868,214413
Indie,2783,51.96730147,51,217652.8433,213016
Country,7325,44.6887372,43,215167.2355,210560
Hip-Hop,2285,53.99256018,52,211282.0556,208368
Rap,4519,56.97322416,56,212441.7811,206811
A Capella,119,9.302521008,8,204467.6975,204293
Comedy,9677,21.32964762,20,235321.2158,189213
Movie,7555,11.4287227,7,212204.4033,183853
Ska,8022,27.4618549,25,189093.4485,183733
Soundtrack,8967,33.67692651,33,190139.9688,166440
