,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
popularity,1,-0.238099926,0.190365114,0.036895852,0.137950589,-0.106679153,-0.093019978,0.24021036,-0.055566158,0.09043797,0.087448436
acousticness,-0.238099926,1,-0.240465759,-0.03657553,-0.525700447,0.139640186,0.000332882,-0.507649698,-0.043200441,-0.190717693,-0.234015981
danceability,0.190365114,-0.240465759,1,-0.041335268,0.226398215,-0.237159663,-0.022249893,0.269677031,0.169134851,0.050389244,0.423853188
duration_ms,0.036895852,-0.03657553,-0.041335268,1,-0.0043261,0.070431527,-0.039127729,-0.007766322,-0.080847688,0.009290226,-0.096842691
energy,0.137950589,-0.525700447,0.226398215,-0.0043261,1,-0.244199431,0.133969194,0.645999465,0.189406636,0.160423046,0.325865336
instrumentalness,-0.106679153,0.139640186,-0.237159663,0.070431527,-0.244199431,1,-0.145651445,-0.302481237,-0.220948253,-0.050294124,-0.236538397
liveness,-0.093019978,0.000332882,-0.022249893,-0.039127729,0.133969194,-0.145651445,1,0.050486312,0.16203204,-0.016216424,0.02615306
loudness,0.24021036,-0.507649698,0.269677031,-0.007766322,0.645999465,-0.302481237,0.050486312,1,0.093845167,0.170995839,0.297925477
speechiness,-0.055566158,-0.043200441,0.169134851,-0.080847688,0.189406636,-0.220948253,0.16203204,0.093845167,1,0.013209584,0.113942889
tempo,0.09043797,-0.190717693,0.050389244,0.009290226,0.160423046,-0.050294124,-0.016216424,0.170995839,0.013209584,1,0.106599453
valence,0.087448436,-0.234015981,0.423853188,-0.096842691,0.325865336,-0.236538397,0.02615306,0.297925477,0.113942889,0.106599453,1
