,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
popularity,1.0,-0.39966109129553934,0.29230011085484253,-0.02757590583136383,0.2504346102797886,-0.15805330855774427,-0.20917784072627849,0.365052256572723,-0.20431924587102335,0.12260990121407811,0.11944352711740208
acousticness,-0.39966109129553934,1.0,-0.4430129739297832,0.036239748361903024,-0.7214547375995735,0.3148805663066878,0.1013977167825204,-0.69907696268907,0.17939020456165472,-0.2672632270807254,-0.3778082993205735
danceability,0.29230011085484253,-0.4430129739297832,1.0,-0.10874308206664159,0.43427126716510933,-0.3905108699436138,-0.011600771953784752,0.5148483971307806,0.13658480029389383,0.07177397994283612,0.5970884609842105
duration_ms,-0.02757590583136383,0.036239748361903024,-0.10874308206664159,1.0,-0.0583227636600799,0.08731519016092396,0.0041778576664452845,-0.06137805779503202,-0.011460726463605374,-0.03108391789625678,-0.1356336532032496
energy,0.2504346102797886,-0.7214547375995735,0.43427126716510933,-0.0583227636600799,1.0,-0.4128597241646102,0.21408535155368558,0.8275915538859993,0.1834573545477009,0.2383659837564084,0.48391261102729094
instrumentalness,-0.15805330855774427,0.3148805663066878,-0.3905108699436138,0.08731519016092396,-0.4128597241646102,1.0,-0.17521846251234696,-0.5167524053925833,-0.20152029881661804,-0.11544484575497618,-0.3441337041247672
liveness,-0.20917784072627849,0.1013977167825204,-0.011600771953784752,0.0041778576664452845,0.21408535155368558,-0.17521846251234696,1.0,0.05508087170528594,0.5862858457120581,-0.06999095725214287,0.013558421644299401
loudness,0.365052256572723,-0.69907696268907,0.5148483971307806,-0.06137805779503202,0.8275915538859993,-0.5167524053925833,0.05508087170528594,1.0,0.010779474793857284,0.248742218009444,0.4522092868050413
speechiness,-0.20431924587102335,0.17939020456165472,0.13658480029389383,-0.011460726463605374,0.1834573545477009,-0.20152029881661804,0.5862858457120581,0.010779474793857284,1.0,-0.10761873875097631,0.03174550063279964
tempo,0.12260990121407811,-0.2672632270807254,0.07177397994283612,-0.03108391789625678,0.2383659837564084,-0.11544484575497618,-0.06999095725214287,0.248742218009444,-0.10761873875097631,1.0,0.1557723739631336
valence,0.11944352711740208,-0.3778082993205735,0.5970884609842105,-0.1356336532032496,0.48391261102729094,-0.3441337041247672,0.013558421644299401,0.4522092868050413,0.03174550063279964,0.1557723739631336,1.0
