,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
popularity,1.0,-0.3533121247414434,0.2833091162565492,0.06044975977554818,0.20639613436564186,-0.14856568115445712,-0.14048444911511085,0.35415985218016927,-0.08253730778732037,0.13522000303220028,0.13099007458359524
acousticness,-0.3533121247414434,1.0,-0.3596985731914529,-0.05458439999378045,-0.7080327168039752,0.21004546618028475,0.0014631451479425398,-0.7013398294972478,-0.0803880026160581,-0.28194470659454907,-0.3520535409340459
danceability,0.2833091162565492,-0.3596985731914529,1.0,-0.060137742908980565,0.3470035321775167,-0.3382264300091415,-0.03426053307204063,0.3994685571116216,0.2645818176870641,0.08071581932997521,0.5920715983329085
duration_ms,0.06044975977554818,-0.05458439999378045,-0.060137742908980565,1.0,-0.0024953377767040407,0.09525226503915397,-0.057577419343164175,-0.004594897818288861,-0.12071710210137776,0.014360360073799639,-0.1403304511070797
energy,0.20639613436564186,-0.7080327168039752,0.3470035321775167,-0.0024953377767040407,1.0,-0.3497557139857275,0.19901347644058598,0.8282963842342779,0.30294962810830167,0.23669255242811268,0.47221247966177604
instrumentalness,-0.14856568115445712,0.21004546618028475,-0.3382264300091415,0.09525226503915397,-0.3497557139857275,1.0,-0.20775694402615802,-0.42538326292780076,-0.31387818621181013,-0.07225787431921357,-0.33743394176303626
liveness,-0.14048444911511085,0.0014631451479425398,-0.03426053307204063,-0.057577419343164175,0.19901347644058598,-0.20775694402615802,1.0,0.07460298082163219,0.24098424375772837,-0.024438114005881317,0.03692983437243767
loudness,0.35415985218016927,-0.7013398294972478,0.3994685571116216,-0.004594897818288861,0.8282963842342779,-0.42538326292780076,0.07460298082163219,1.0,0.15431846039266336,0.2525159087690943,0.43562056635766444
speechiness,-0.08253730778732037,-0.0803880026160581,0.2645818176870641,-0.12071710210137776,0.30294962810830167,-0.31387818621181013,0.24098424375772837,0.15431846039266336,1.0,0.018543034584098127,0.18164134066134582
tempo,0.13522000303220028,-0.28194470659454907,0.08071581932997521,0.014360360073799639,0.23669255242811268,-0.07225787431921357,-0.024438114005881317,0.2525159087690943,0.018543034584098127,1.0,0.15972452666288078
valence,0.13099007458359524,-0.3520535409340459,0.5920715983329085,-0.1403304511070797,0.47221247966177604,-0.33743394176303626,0.03692983437243767,0.43562056635766444,0.18164134066134582,0.15972452666288078,1.0
